order_item_id,order_id,product_id,quantity,price,cost_price,created_at,updated_at
ITM-1001,ORD-1001,PROD-109,5,30.55,21.38,2024-12-16 00:00:00,2024-12-16 00:00:00
ITM-1002,ORD-1001,PROD-105,9,15.47,10.83,2024-12-16 00:00:00,2024-12-16 00:00:00
ITM-1003,ORD-1002,PROD-110,9,56.62,39.63,2024-12-12 00:00:00,2024-12-12 00:00:00
ITM-1004,ORD-1003,PROD-107,10,34.78,24.35,2024-12-11 00:00:00,2024-12-11 00:00:00
ITM-1005,ORD-1004,PROD-106,3,49.09,34.36,2024-12-13 00:00:00,2024-12-13 00:00:00
ITM-1006,ORD-1005,PROD-101,8,31.91,22.34,2024-12-08 00:00:00,2024-12-08 00:00:00
ITM-1007,ORD-1005,PROD-103,6,65.28,45.7,2024-12-08 00:00:00,2024-12-08 00:00:00
ITM-1008,ORD-1005,PROD-110,6,56.62,39.63,2024-12-08 00:00:00,2024-12-08 00:00:00
ITM-1009,ORD-1006,PROD-108,4,62.83,43.98,2024-12-23 00:00:00,2024-12-23 00:00:00
ITM-1010,ORD-1006,PROD-102,3,61.09,42.76,2024-12-23 00:00:00,2024-12-23 00:00:00
ITM-1011,ORD-1007,PROD-105,3,15.47,10.83,2024-12-05 00:00:00,2024-12-05 00:00:00
ITM-1012,ORD-1007,PROD-101,6,31.91,22.34,2024-12-05 00:00:00,2024-12-05 00:00:00
ITM-1013,ORD-1007,PROD-102,7,61.09,42.76,2024-12-05 00:00:00,2024-12-05 00:00:00
ITM-1014,ORD-1008,PROD-102,6,61.09,42.76,2024-12-22 00:00:00,2024-12-22 00:00:00
ITM-1015,ORD-1008,PROD-101,4,31.91,22.34,2024-12-22 00:00:00,2024-12-22 00:00:00
ITM-1016,ORD-1008,PROD-104,5,29.52,20.66,2024-12-22 00:00:00,2024-12-22 00:00:00
ITM-1017,ORD-1009,PROD-101,10,31.91,22.34,2024-12-08 00:00:00,2024-12-08 00:00:00
ITM-1018,ORD-1009,PROD-105,10,15.47,10.83,2024-12-08 00:00:00,2024-12-08 00:00:00
ITM-1019,ORD-1010,PROD-105,5,15.47,10.83,2024-12-08 00:00:00,2024-12-08 00:00:00
ITM-1020,ORD-1010,PROD-110,2,56.62,39.63,2024-12-08 00:00:00,2024-12-08 00:00:00
ITM-1021,ORD-1010,PROD-108,7,62.83,43.98,2024-12-08 00:00:00,2024-12-08 00:00:00
ITM-1022,ORD-1011,PROD-108,3,62.83,43.98,2024-12-24 00:00:00,2024-12-24 00:00:00
ITM-1023,ORD-1011,PROD-104,5,29.52,20.66,2024-12-24 00:00:00,2024-12-24 00:00:00
ITM-1024,ORD-1012,PROD-103,4,65.28,45.7,2024-12-13 00:00:00,2024-12-13 00:00:00
ITM-1025,ORD-1012,PROD-104,6,29.52,20.66,2024-12-13 00:00:00,2024-12-13 00:00:00
ITM-1026,ORD-1013,PROD-104,1,29.52,20.66,2024-12-13 00:00:00,2024-12-13 00:00:00
ITM-1027,ORD-1013,PROD-106,6,49.09,34.36,2024-12-13 00:00:00,2024-12-13 00:00:00
ITM-1028,ORD-1013,PROD-103,7,65.28,45.7,2024-12-13 00:00:00,2024-12-13 00:00:00
ITM-1029,ORD-1014,PROD-110,3,56.62,39.63,2024-12-25 00:00:00,2024-12-25 00:00:00
ITM-1030,ORD-1014,PROD-110,3,56.62,39.63,2024-12-25 00:00:00,2024-12-25 00:00:00
ITM-1031,ORD-1015,PROD-105,7,15.47,10.83,2024-12-08 00:00:00,2024-12-08 00:00:00
ITM-1032,ORD-1015,PROD-102,7,61.09,42.76,2024-12-08 00:00:00,2024-12-08 00:00:00
ITM-1033,ORD-1015,PROD-101,5,31.91,22.34,2024-12-08 00:00:00,2024-12-08 00:00:00
ITM-1034,ORD-1016,PROD-107,7,34.78,24.35,2024-12-25 00:00:00,2024-12-25 00:00:00
ITM-1035,ORD-1017,PROD-109,8,30.55,21.38,2024-12-24 00:00:00,2024-12-24 00:00:00
ITM-1036,ORD-1017,PROD-101,3,31.91,22.34,2024-12-24 00:00:00,2024-12-24 00:00:00
ITM-1037,ORD-1017,PROD-101,10,31.91,22.34,2024-12-24 00:00:00,2024-12-24 00:00:00
ITM-1038,ORD-1018,PROD-107,4,34.78,24.35,2024-12-09 00:00:00,2024-12-09 00:00:00
ITM-1039,ORD-1018,PROD-102,2,61.09,42.76,2024-12-09 00:00:00,2024-12-09 00:00:00
ITM-1040,ORD-1019,PROD-104,5,29.52,20.66,2024-12-28 00:00:00,2024-12-28 00:00:00
ITM-1041,ORD-1019,PROD-103,5,65.28,45.7,2024-12-28 00:00:00,2024-12-28 00:00:00
ITM-1042,ORD-1019,PROD-106,6,49.09,34.36,2024-12-28 00:00:00,2024-12-28 00:00:00
ITM-1043,ORD-1020,PROD-104,3,29.52,20.66,2024-12-01 00:00:00,2024-12-01 00:00:00
ITM-1044,ORD-1020,PROD-110,6,56.62,39.63,2024-12-01 00:00:00,2024-12-01 00:00:00
ITM-1045,ORD-1021,PROD-101,1,31.91,22.34,2024-12-16 00:00:00,2024-12-16 00:00:00
ITM-1046,ORD-1021,PROD-109,1,30.55,21.38,2024-12-16 00:00:00,2024-12-16 00:00:00
ITM-1047,ORD-1022,PROD-101,6,31.91,22.34,2024-12-25 00:00:00,2024-12-25 00:00:00
ITM-1048,ORD-1022,PROD-104,10,29.52,20.66,2024-12-25 00:00:00,2024-12-25 00:00:00
ITM-1049,ORD-1022,PROD-108,9,62.83,43.98,2024-12-25 00:00:00,2024-12-25 00:00:00
ITM-1050,ORD-1023,PROD-105,4,15.47,10.83,2024-12-04 00:00:00,2024-12-04 00:00:00
ITM-1051,ORD-1023,PROD-109,3,30.55,21.38,2024-12-04 00:00:00,2024-12-04 00:00:00
ITM-1052,ORD-1023,PROD-108,1,62.83,43.98,2024-12-04 00:00:00,2024-12-04 00:00:00
ITM-1053,ORD-1024,PROD-106,3,49.09,34.36,2024-12-17 00:00:00,2024-12-17 00:00:00
ITM-1054,ORD-1024,PROD-108,2,62.83,43.98,2024-12-17 00:00:00,2024-12-17 00:00:00
ITM-1055,ORD-1025,PROD-109,3,30.55,21.38,2024-12-01 00:00:00,2024-12-01 00:00:00
ITM-1056,ORD-1025,PROD-108,1,62.83,43.98,2024-12-01 00:00:00,2024-12-01 00:00:00
ITM-1057,ORD-1025,PROD-101,7,31.91,22.34,2024-12-01 00:00:00,2024-12-01 00:00:00
ITM-1058,ORD-1026,PROD-110,9,56.62,39.63,2024-12-20 00:00:00,2024-12-20 00:00:00
ITM-1059,ORD-1026,PROD-102,5,61.09,42.76,2024-12-20 00:00:00,2024-12-20 00:00:00
ITM-1060,ORD-1027,PROD-104,3,29.52,20.66,2024-12-08 00:00:00,2024-12-08 00:00:00
ITM-1061,ORD-1027,PROD-103,4,65.28,45.7,2024-12-08 00:00:00,2024-12-08 00:00:00
ITM-1062,ORD-1028,PROD-110,4,56.62,39.63,2024-12-18 00:00:00,2024-12-18 00:00:00
ITM-1063,ORD-1028,PROD-108,5,62.83,43.98,2024-12-18 00:00:00,2024-12-18 00:00:00
ITM-1064,ORD-1029,PROD-103,9,65.28,45.7,2024-12-24 00:00:00,2024-12-24 00:00:00
ITM-1065,ORD-1029,PROD-110,4,56.62,39.63,2024-12-24 00:00:00,2024-12-24 00:00:00
