order_id,customer_id,status,total_amount,created_at,updated_at
ORD-1001,CUST-247,Processing,291.98,2024-12-16 00:00:00,2024-12-16 00:00:00
ORD-1002,CUST-214,Cancelled,509.58,2024-12-12 00:00:00,2024-12-12 00:00:00
ORD-1003,CUST-224,Processing,347.8,2024-12-11 00:00:00,2024-12-11 00:00:00
ORD-1004,CUST-296,Cancelled,147.27,2024-12-13 00:00:00,2024-12-13 00:00:00
ORD-1005,CUST-131,Processing,986.68,2024-12-08 00:00:00,2024-12-08 00:00:00
ORD-1006,CUST-174,Processing,434.59,2024-12-23 00:00:00,2024-12-23 00:00:00
ORD-1007,CUST-152,Completed,665.5,2024-12-05 00:00:00,2024-12-05 00:00:00
ORD-1008,CUST-208,Processing,641.78,2024-12-22 00:00:00,2024-12-22 00:00:00
ORD-1009,CUST-273,Cancelled,473.8,2024-12-08 00:00:00,2024-12-08 00:00:00
ORD-1010,CUST-256,Cancelled,630.4,2024-12-08 00:00:00,2024-12-08 00:00:00
ORD-1011,CUST-180,Completed,336.09,2024-12-24 00:00:00,2024-12-24 00:00:00
ORD-1012,CUST-189,Completed,438.24,2024-12-13 00:00:00,2024-12-13 00:00:00
ORD-1013,CUST-250,Processing,781.02,2024-12-13 00:00:00,2024-12-13 00:00:00
ORD-1014,CUST-144,Completed,339.72,2024-12-25 00:00:00,2024-12-25 00:00:00
ORD-1015,CUST-165,Processing,695.47,2024-12-08 00:00:00,2024-12-08 00:00:00
ORD-1016,CUST-152,Completed,243.46,2024-12-25 00:00:00,2024-12-25 00:00:00
ORD-1017,CUST-196,Processing,659.23,2024-12-24 00:00:00,2024-12-24 00:00:00
ORD-1018,CUST-192,Processing,261.3,2024-12-09 00:00:00,2024-12-09 00:00:00
ORD-1019,CUST-158,Completed,768.54,2024-12-28 00:00:00,2024-12-28 00:00:00
ORD-1020,CUST-270,Processing,428.28,2024-12-01 00:00:00,2024-12-01 00:00:00
ORD-1021,CUST-187,Cancelled,62.46,2024-12-16 00:00:00,2024-12-16 00:00:00
ORD-1022,CUST-221,Completed,1052.13,2024-12-25 00:00:00,2024-12-25 00:00:00
ORD-1023,CUST-237,Completed,216.36,2024-12-04 00:00:00,2024-12-04 00:00:00
ORD-1024,CUST-122,Completed,272.93,2024-12-17 00:00:00,2024-12-17 00:00:00
ORD-1025,CUST-185,Processing,377.85,2024-12-01 00:00:00,2024-12-01 00:00:00
ORD-1026,CUST-273,Completed,815.03,2024-12-20 00:00:00,2024-12-20 00:00:00
ORD-1027,CUST-109,Processing,349.68,2024-12-08 00:00:00,2024-12-08 00:00:00
ORD-1028,CUST-244,Cancelled,540.63,2024-12-18 00:00:00,2024-12-18 00:00:00
ORD-1029,CUST-217,Cancelled,891.35,2024-12-24 00:00:00,2024-12-24 00:00:00
ORD-1030,CUST-189,Processing,845.69,2024-12-19 00:00:00,2024-12-19 00:00:00
ORD-1031,CUST-230,Processing,441.81,2024-12-10 00:00:00,2024-12-10 00:00:00
ORD-1032,CUST-205,Cancelled,402.55,2024-12-13 00:00:00,2024-12-13 00:00:00
ORD-1033,CUST-118,Completed,430.98,2024-12-21 00:00:00,2024-12-21 00:00:00
ORD-1034,CUST-124,Completed,586.01,2024-12-22 00:00:00,2024-12-22 00:00:00
ORD-1035,CUST-269,Cancelled,92.82,2024-12-23 00:00:00,2024-12-23 00:00:00
ORD-1036,CUST-243,Completed,502.64,2024-12-18 00:00:00,2024-12-18 00:00:00
